showname,city,theatre,weekending,type,book adaptation,film adaptation,gross
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/20/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/27/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/4/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/11/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/18/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/25/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/1/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/8/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/15/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/22/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/29/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/6/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/13/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/20/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/27/09,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/3/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/10/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/17/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/24/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/31/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/7/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/14/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/21/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/28/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/7/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/14/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/21/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/28/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/4/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/11/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/18/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/25/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/2/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/9/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/16/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/23/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/30/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/6/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/13/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/20/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/27/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/4/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/11/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/18/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/25/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/1/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/8/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/15/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/22/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/29/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/5/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/12/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/19/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/26/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/3/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/10/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/17/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/24/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/31/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/7/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/14/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/21/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/28/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/5/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/12/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/19/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/26/10,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/2/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/9/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/16/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/23/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/30/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/6/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/13/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/20/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/27/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/6/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/13/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/20/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/27/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/3/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/10/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/17/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/24/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/1/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/8/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/15/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/22/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/29/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/5/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/12/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/19/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/26/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/3/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/10/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/17/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/24/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,7/31/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/7/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/14/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/21/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,8/28/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/4/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/11/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/18/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,9/25/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/2/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/9/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/16/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/23/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,10/30/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/6/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/13/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/20/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,11/27/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/4/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/11/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/18/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,12/25/11,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/1/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/8/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/15/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/22/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,1/29/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/5/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/12/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/19/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,2/26/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/4/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/11/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/18/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,3/25/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/1/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/8/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/15/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/22/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,4/29/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/6/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/13/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/20/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,5/27/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/3/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/10/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/17/12,ENGLISH,1,0,
WICKED,LONDON,APOLLO VICTORIA THEATRE,6/24/12,ENGLISH,1,0,
